Name,ethnolog_Size,ethnolog_Vitality,L1 speakers,L2 speakers,New wiki,Size of Wikipedia (Articles Column),language family,geographical location,geo location analysis,LDC,Is in Google,wiki pages,natural language processing,part of speech,grammar parsing| grammar parser,question answering,text classification,universal dependencies,ACL count,Is in XLMR,ELRA,Hugginface,kaggle,CC Size,Is in Facebook,Joshi Classes,mBERT,HF new
,https://www.ethnologue.com/size-and-vitality/mdd,,,,,https://en.wikipedia.org/wiki/List_of_Wikipedias#Details_table,,,,https://catalog.ldc.upenn.edu/search,https://translate.google.com/intl/en/about/languages/,,,,,,,https://universaldependencies.org/,,https://arxiv.org/pdf/1911.02116.pdf,https://lremap.elra.info/?q=english,https://huggingface.co/datasets,https://www.kaggle.com/datasets,https://commoncrawl.github.io/cc-crawl-statistics/plots/languages,"if the language is in 'Facebook' sheet, put 1, otherwise 0",,,
,size,vitality,,,,copy two columns in sheet  'wiki',,,,,0/1,,,,,,,,,,,,,copy numbers in last column,0/1,,,
Aneityum,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Anem,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Aneme Wake,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Anfillo,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Angaataha,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Angaité,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Angal,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Angal Enen,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Angal Heneng,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Angika,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Angkamuthi,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Angloromani,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Angolar,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Angor,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Angoram,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Anguthimri,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Anii,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Animere,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Anindilyakwa,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Aninka,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Anjam,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ankave,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Anmatyerre,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Anong,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Anor,small,stable,,,,,,,,,,,,,,,,,2,,,,,,,,,
Anserma,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ansus,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Antikarinya,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Anuak,mid,institutional,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Anufo,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Anuki,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Anus,small,endangered,,,,,,,,,,,,,,,,,2,,,,,,,,,
Anuta,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Anyin,large,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Anyin Morofo,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Aoheng,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Aore,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Ap Ma,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Apache,mid,endangered,,,,,,,,,,,23900,9280,347,5560,6320,,18,,,,,,,0,,
Apal,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Apalaí,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Apatani,mid,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Apiaká,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Apinayé,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Apma,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Apurinã,small,endangered,,,,,,,,,,,21,16,0,0,0,1,1,,,,,,,0,,
Aputai,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Arabana,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Arabela,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Arabic,large,institutional,350 million,270 million,"1,174,540","1,139,713",Afro-Asiatic,,Central Asia,187,1,"7,467,692",38200,23700,539,7310,8970,1,1084,28,107,64,,0.5981,1,5,1,83
Aragonese,mid,endangered,"10,000–12,000","18,000–40,000","41,971","40,535",Indo-European,Spain,Southern Europe,,,"122,223",148,143,0,19,29,,1,,,9,,,,1,1,11
Araki,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Arakwal,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
Aralle-Tabulahan,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
